density,dual2,n,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dist_type,n_base,dual1,opt_mc,length,sdp_orig,lp_cons,m_base,p_star,m,dsrse_weight,weight_mode,alpha_pes,alpha_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,alpha_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,mu_pes_bound,alpha_pes_over_pstar,alpha_pes_over_pstar_over_opt,mu_pes_bound_over_opt,alpha_pes_over_pstar_gap,mu_pes_bound_gap,mu_pes_bound_1
dense,2.176126379023625,8,6,1.4189840647530643,1.5011106303934438,1.3432553783434393,1.3432553783434393,uniform,8,2.376608360902248,1.455743761133851,short,NaN,1.3432553783434416,12,0.141,12,1.422225660817221,uniform01,1.3432553783434416,0.9227278963553349,0.9227278963553349,1.0311640485577334,NaN,1.6325732758429636,1.4948553702395273,0.9227278963553334,0.9227278963553334,0.9769752746248945,0.9747485118176599,0.07727210364466508,0.07727210364466508,0.03116404855773336,NaN,0.6325732758429636,0.4948553702395273,0.07727210364466663,0.07727210364466663,0.02302472537510547,0.02525148818234013,NaN,9.52663388896058,6.5441694776974115,2.0350467737867595,5.5441694776974115,1.0350467737867595,2.962506644555647
sparse,1.9849265796167117,4,6,1.3614181426176015,1.4065119021948338,1.3432553783434393,1.3432553783434393,uniform,8,2.1992113175802,1.3748836402691351,short,NaN,1.3432553783434416,12,0.184,12,1.3592260848603748,uniform01,1.3432553783434416,0.9769956809439508,0.9769956809439508,1.023004319056053,NaN,1.5995617761148875,1.4437051409151687,0.9769956809439492,0.9769956809439492,0.9886117232395788,0.990206081986038,0.02300431905604916,0.02300431905604916,0.023004319056052935,NaN,0.5995617761148875,0.44370514091516866,0.023004319056050826,0.023004319056050826,0.011388276760421201,0.00979391801396201,NaN,7.300300969257835,5.30975913556495,1.0201411984231632,4.30975913556495,0.020141198423163198,1.4025754444765568
dense,1.9951758481945794,8,6,1.3747413304169418,1.398005102622769,1.3432553783434393,1.3432553783434393,uniform,8,2.426806477202892,1.3767364790014318,long,NaN,1.3432553783434416,12,0.076,18,1.3761825611036114,uniform01,1.3432553783434416,0.9756808211530251,0.9756808211530251,1.0154485799902415,NaN,1.7627240319535167,1.4492067862120652,0.9756808211530236,0.9756808211530236,0.9995976587340649,0.9985508130169275,0.024319178846974876,0.024319178846974876,0.015448579990241518,NaN,0.7627240319535167,0.4492067862120652,0.02431917884697643,0.02431917884697643,0.00040234126593508,0.0014491869830725035,NaN,17.67441287294002,12.837905541487173,0.9499635382350453,11.837905541487173,0.05003646176495469,1.3078494568094583
sparse,1.8572089112179322,4,6,1.3432553783434393,1.3432553783434416,1.3432553783434393,1.3432553783434393,uniform,8,2.182676446688645,1.3432553783434393,long,NaN,1.3432553783434416,12,0.1,18,1.3432553783434393,uniform01,1.3432553783434416,1.0000000000000016,1.0000000000000016,1.0000000000000016,NaN,1.6249154716807581,1.3826178857428604,1.0,1.0,1.0,1.0,1.5543122344752192e-15,1.5543122344752192e-15,1.5543122344752192e-15,NaN,0.6249154716807581,0.3826178857428604,0.0,0.0,0.0,0.0,NaN,13.432553783434415,10.000000000000016,0.6905829503276864,9.000000000000016,0.30941704967231365,0.9276292622199449
dense,2.884510843958296,8,7,2.6315267318422357,2.631526731842231,2.6315267318422357,2.6315267318422357,uniform,8,3.0028233145210237,2.6315267318422357,short,NaN,2.631526731842231,12,0.339,12,2.6315267318422357,uniform01,2.631526731842231,0.9999999999999981,0.9999999999999981,0.9999999999999981,NaN,1.1410955010207542,1.0961358701224195,1.0,1.0,1.0,1.0,1.887379141862766e-15,1.887379141862766e-15,1.887379141862766e-15,NaN,0.1410955010207542,0.09613587012241953,0.0,0.0,0.0,0.0,NaN,7.762615728148173,2.949852507374626,1.4039322006880741,1.9498525073746258,0.4039322006880741,3.6944851158047656
sparse,2.0876599579570376,4,7,1.7304260031600258,1.7304260031600203,1.7304260031600258,1.7304260031600258,uniform,8,2.1223289512045636,1.7304260031600258,short,NaN,1.7304260031600203,12,0.482,12,1.7304260031600258,uniform01,1.7304260031600203,0.9999999999999968,0.9999999999999968,0.9999999999999968,NaN,1.2264777270619271,1.2064427800695594,1.0,1.0,1.0,1.0,3.219646771412954e-15,3.219646771412954e-15,3.219646771412954e-15,NaN,0.22647772706192715,0.2064427800695594,0.0,0.0,0.0,0.0,NaN,3.590095442240706,2.0746887966804914,0.8763624497780582,1.0746887966804914,0.12363755022194178,1.516480371288974
dense,2.6201208944055345,8,7,2.094663702511077,2.140871128540075,1.9999234417987632,1.9999234417987632,uniform,8,2.763194960662232,2.0928333432595556,long,NaN,1.9999234417987677,12,0.184,14,2.0983687540082436,uniform01,1.999923441798768,0.9556056855840791,0.955605685584079,1.0229534690066155,NaN,1.3203129477852251,1.2519491352927017,0.9556056855840769,0.9556056855840769,1.0026449362375252,1.0008745843320093,0.0443943144159209,0.04439431441592101,0.022953469006615546,NaN,0.3203129477852251,0.2519491352927017,0.04439431441592312,0.04439431441592312,0.002644936237525153,0.000874584332009265,NaN,10.869149140210695,5.193509160783038,1.0064530113784904,4.193509160783038,0.006453011378490414,2.106338420636894
sparse,1.8487895669034287,4,7,1.685610499007536,1.685610499007534,1.685610499007536,1.685610499007536,uniform,8,1.9062764824158136,1.685610499007536,long,NaN,1.685610499007534,12,0.313,14,1.685610499007536,uniform01,1.685610499007534,0.9999999999999988,0.9999999999999988,0.9999999999999988,NaN,1.1309116094959082,1.0968071022291153,1.0,1.0,1.0,1.0,1.2212453270876722e-15,1.2212453270876722e-15,1.2212453270876722e-15,NaN,0.1309116094959082,0.09680710222911526,0.0,0.0,0.0,0.0,NaN,5.385337057532057,3.194888178913734,0.9005071779574911,2.194888178913734,0.09949282204250887,1.5179043535967947
dense,2.631066090144335,8,8,2.0057051903107186,2.0084687523328566,1.9446555929125682,1.9446555929125682,uniform,8,2.8622172903584406,2.0036953270218905,short,NaN,1.9446555929125688,12,0.151,12,2.0089712181550636,uniform01,1.9446555929125688,0.9705345751356954,0.9705345751356954,1.0023823109464756,NaN,1.428469314550221,1.313106865430939,0.9705345751356952,0.9705345751356952,1.0026330805197887,1.001003078293253,0.02946542486430459,0.02946542486430459,0.002382310946475563,NaN,0.42846931455022097,0.313106865430939,0.029465424864304812,0.029465424864304812,0.002633080519788722,0.001003078293253079,NaN,12.87851386034814,6.4273812922893745,1.1664653977159458,5.4273812922893745,0.16646539771594582,2.3372412665361715
sparse,1.558884913078649,4,8,1.261249101691854,1.2690373219360631,1.1388986739844527,1.1388986739844527,uniform,8,1.6320380611779555,1.263510197891785,short,NaN,1.1388986739844522,12,0.239,12,1.2587367725808183,uniform01,1.1388986739844522,0.9013767169309342,0.9013767169309342,1.0043744198135482,NaN,1.2916698764292311,1.2337731153097995,0.9013767169309346,0.9013767169309346,0.9962220919792089,0.9982104646217308,0.09862328306906576,0.09862328306906576,0.004374419813548247,NaN,0.29166987642923115,0.2337731153097995,0.09862328306906543,0.09862328306906543,0.003777908020791143,0.0017895353782692025,NaN,4.765266418344988,3.7714506984557916,1.0830081497964597,2.7714506984557916,0.08300814979645965,1.3683918416677407
dense,2.329587332997713,8,8,1.9446555929125682,1.9446555929125688,1.9446555929125682,1.9446555929125682,uniform,8,2.6560900174059205,1.9446555929125682,long,NaN,1.9446555929125688,12,0.088,20,1.9446555929125682,uniform01,1.9446555929125688,1.0000000000000004,1.0000000000000004,1.0000000000000004,NaN,1.3658408342774033,1.1979434001002827,1.0,1.0,1.0,1.0,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,NaN,0.3658408342774033,0.19794340010028266,0.0,0.0,0.0,0.0,NaN,22.098359010370103,11.363636363636369,1.395362917222149,10.363636363636369,0.3953629172221489,2.7135003011188488
sparse,1.3224065815832509,4,8,0.7402635088440214,0.7402635088440204,0.7058446000228424,0.7058446000228424,uniform,8,1.4737600072501438,0.7435295366883671,long,NaN,0.7058446000228414,12,0.116,20,0.7390073442885039,uniform01,0.7058446000228414,0.9493161538230587,0.9493161538230587,0.9956073999979969,NaN,1.982113600777955,1.7785528567878621,0.94931615382306,0.94931615382306,0.9939179384587669,0.9956073999979982,0.05068384617694133,0.05068384617694133,0.004392600002003144,NaN,0.982113600777955,0.7785528567878621,0.050683846176939995,0.050683846176939995,0.006082061541233141,0.004392600002001812,NaN,6.084867241576219,8.183759946750506,2.300179431334122,7.183759946750506,1.3001794313341222,1.7102513468799714
dense,1.4746302989411628,8,9,0.9656900064043112,1.0779013483819397,0.7954732820086907,0.7466463105507264,uniform,8,1.7439816526081657,1.0337888384193605,short,NaN,0.7954732820086922,12,0.111,12,0.9479674997136319,uniform01,0.7954732820086922,0.7694736608154452,0.7694736608154452,1.042670716033292,NaN,1.686980539734472,1.426432791822205,0.7694736608154439,0.7222425729536135,0.9169836861104561,0.934126942094702,0.23052633918455478,0.23052633918455478,0.04267071603329198,NaN,0.6869805397344719,0.42643279182220506,0.23052633918455612,0.2777574270463865,0.08301631388954389,0.06587305790529796,NaN,7.166425964042272,6.932195142481489,2.4938903672860318,5.932195142481489,1.4938903672860318,2.578156025941859
sparse,1.291350791461924,4,9,0.9062420588221168,0.9312398885002066,0.7466463105507264,0.7466463105507264,uniform,8,1.4396296968145852,0.9232762142653285,short,NaN,0.7466463105507252,12,0.137,12,0.9063285203800567,uniform01,0.7466463105507252,0.8086922407557616,0.8086922407557616,1.0086254515299249,NaN,1.5592621953985144,1.3986613881193515,0.808692240755763,0.808692240755763,0.981643961337445,0.9815503148678361,0.19130775924423837,0.19130775924423837,0.008625451529924888,NaN,0.5592621953985144,0.3986613881193515,0.19130775924423704,0.19130775924423704,0.018356038662554974,0.01844968513216394,NaN,5.449973069713322,5.902863071209938,1.1921763709736732,4.902863071209938,0.19217637097367324,1.1007080865291508
dense,1.4071314499926693,8,9,0.8181225121627649,0.8859310759473193,0.7954732820086907,0.7466463105507264,uniform,8,1.9500226741097775,0.8692711324242866,long,NaN,0.7954732820086922,12,0.065,22,0.8342351240804015,uniform01,0.7954732820086922,0.9151037603080392,0.9151037603080392,1.019165416751584,NaN,2.243284748995877,1.6187486245728173,0.9151037603080376,0.8589337465612424,0.9596949593319933,0.9411591868708734,0.0848962396919608,0.0848962396919608,0.019165416751584008,NaN,1.243284748995877,0.6187486245728173,0.08489623969196236,0.14106625343875756,0.040305040668006664,0.05884081312912659,NaN,12.238050492441417,14.07851938935445,2.9235149375832052,13.07851938935445,1.9235149375832052,2.54132714045227
sparse,1.2566426286823884,4,9,0.7911993998327359,0.8024060051122585,0.7466463105507264,0.7466463105507264,uniform,8,1.6402813450001998,0.7893747730829384,long,NaN,0.7466463105507252,12,0.073,22,0.785186099438845,uniform01,0.7466463105507252,0.9458704990465615,0.9458704990465615,1.0165082955190297,NaN,2.077950044684109,1.5919467805824534,0.9458704990465631,0.9458704990465631,0.9946936819025337,1.002311483482898,0.05412950095343849,0.05412950095343849,0.01650829551902966,NaN,1.0779500446841088,0.5919467805824534,0.05412950095343694,0.05412950095343694,0.005306318097466289,0.0023114834828978914,NaN,10.228031651379798,12.957130123925502,1.183353061464241,11.957130123925502,0.1833530614642409,0.9341090543703356
dense,1.844507903396857,8,10,1.3753711796655996,1.4686558590772973,1.3207290642152032,1.3132000435031217,uniform,8,2.1023139731789766,1.4012362127673283,short,NaN,1.322855966372102,12,0.197,12,1.3991005934613774,uniform01,1.0840244811067552,0.7736200871984991,0.9440635021554062,1.0481144047632203,NaN,1.5003280346481171,1.3163433021432573,0.9425456266269838,0.9371724992102921,0.998475903429777,0.9815412755779075,0.22637991280150094,0.05593649784459376,0.048114404763220264,NaN,0.5003280346481171,0.31634330214325734,0.057454373373016177,0.06282750078970789,0.0015240965702230103,0.01845872442209251,NaN,5.502662340643427,3.927005518774107,2.008073807605642,2.927005518774107,1.008073807605642,2.813785737126598
