n,k,mean_weight,obj_it,LP_obj,greedy
47,10,18.68166666666667,17.979780744262943,43.96066666666667,16.43733333333333
47,12,20.275333333333332,18.481079350253037,48.47466666666667,16.678
47,18,24.152666666666665,21.751199576723508,57.48933333333334,19.464
47,25,26.093999999999998,23.221530078106824,66.33633333333334,20.967
47,30,27.835333333333335,25.219391484408572,72.419,21.157333333333334
47,37,28.637333333333334,25.15922096123106,77.93133333333334,22.30933333333333
47,43,29.031333333333333,25.661434392069197,84.29866666666666,21.257
47,47,30.317333333333334,26.85716140250665,87.35266666666666,21.115666666666666
47,52,30.760333333333335,27.493773378542176,90.024,22.006
52,8,17.351666666666667,16.626174019254883,39.15933333333333,12.450000000000001
52,10,18.868,17.654549951800472,45.12444444444444,16.780666666666665
52,12,20.326,18.198919036075818,51.08408333333333,16.979333333333333
52,18,22.91433333333333,20.360318918010673,60.90966666666667,17.115333333333336
52,25,25.281333333333336,22.690395569060584,71.22033333333333,18.908
52,30,26.015666666666664,22.830099472105587,76.98466666666667,20.576666666666668
52,37,27.490333333333336,24.54755831536478,82.66933333333333,21.073999999999998
52,43,27.919666666666668,25.813875672817616,87.884,20.591333333333335
52,47,28.792999999999996,26.504795491380886,91.37766666666668,21.295333333333335
52,52,29.367666666666665,26.717291086137568,93.601,23.102
