dual2              , upper_pstar           , p_star, dual1              , overlap , alpha_pes_over_opt , alpha_pes          , upper_over_opt       , weight_mode, est_opt           , m , dual1_over_opt    , dual2_over_opt    , dist_type, n
 7.051574340728226 ,    44.446824944529745 , 0.072 ,  6.936809642465252 , moderate, 0.6842591338297682 , 3.2001713960061413 ,    9.503599080969003 , exp1       , 4.676841327780198 , 15, 1.4832253558103323, 1.507764289295477 , uniform  , 10
12.638195053043512 ,  5938.124968206681    , 0.0005, 15.828032080634292 , moderate, 0.9999999999999999 , 2.9690624841033406 , 1999.9999999999995   , exp1       , 2.969062484103341 , 15, 5.330986520283479 , 4.2566281850616745, normal   , 10
 7.791095086626796 ,  4847.279222349893    , 0.0005, 12.07012296515373  , moderate, 0.9999999999999997 , 2.4236396111749463 , 1999.9999999999993   , exp1       , 2.423639611174947 , 15, 4.980164092673127 , 3.2146260734077456, normal   , 10
 7.772833946548071 ,  6313.492694535327    , 0.0005, 14.661169499634985 , moderate, 0.9999999999999991 , 3.1567463472676636 , 1999.9999999999984   , exp1       , 3.1567463472676662, 15, 4.644392639378522 , 2.4622928456940727, normal   , 10
 4.399827911080654 ,  3066.1531206611085   , 0.0005,  6.844123752866562 , moderate, 1.0000000000000007 , 1.5330765603305543 , 2000.0000000000011   , exp1       , 1.5330765603305534, 15, 4.464306564957767 , 2.8699335864426674, normal   , 10
 5.512269405315614 ,  6449.579751897327    , 0.0005,  7.841116573063701 , moderate, 1.0                , 3.2247898759486633 , 2000.0               , exp1       , 3.2247898759486633, 15, 2.431512400713245 , 1.7093421951078358, normal   , 10
 8.820411875331512 ,  6742.4194943763005   , 0.0005, 16.508591911275964 , moderate, 1.0000000000000002 , 3.3712097471881504 , 2000.0000000000002   , exp1       , 3.37120974718815  , 15, 4.896934082800813 , 2.616393679654142 , normal   , 10
 5.587766856533055 ,  4027.9734441625283   , 0.0005,  7.532127699955692 , moderate, 1.0000000000000004 , 2.013986722081264  , 2000.000000000001    , exp1       , 2.0139867220812633, 15, 3.7399093138866157, 2.774480484537967 , normal   , 10
 4.879681506038006 ,  3628.952931765738    , 0.0005,  5.505550369099701 , moderate, 0.9999999999999999 , 1.814476465882869  , 1999.9999999999998   , exp1       , 1.8144764658828691, 15, 3.0342363059643587, 2.6893054816578736, normal   , 10
12.390510405062784 ,  6212.662955572739    , 0.0005, 14.911367661191596 , moderate, 0.9999999999999996 , 3.1063314777863695 , 1999.999999999999    , exp1       , 3.106331477786371 , 15, 4.800314379783355 , 3.9887920827729855, normal   , 10
 7.247392431999674 ,  8002.917867862285    , 0.0005,  8.470488852521466 , moderate, 0.9999999999999996 , 4.001458933931143  , 1999.999999999999    , exp1       , 4.001458933931144 , 15, 2.1168501270110056, 1.8111875072724124, normal   , 10
 8.940013150479752 ,  6337.06214128483     , 0.0005, 11.643673356095233 , moderate, 0.9999999999999999 , 3.1685310706424152 , 1999.9999999999998   , exp1       , 3.1685310706424157, 15, 3.674785917038362 , 2.821500863069389 , normal   , 10
12.989249360514231 , 10248.395807083782    , 0.0005, 22.58268620217197  , moderate, 0.9999999999999993 , 5.124197903541891  , 1999.9999999999986   , exp1       , 5.124197903541894 , 15, 4.407067530815429 , 2.534884406305997 , normal   , 10
 7.577177560274227 ,  6321.077444730764    , 0.0005, 10.354796617419977 , moderate, 1.0000000000000002 , 3.160538722365382  , 2000.0000000000005   , exp1       , 3.160538722365381 , 15, 3.2762758273280497, 2.3974322816090625, normal   , 10
 4.579521220666428 ,  3746.951241575939    , 0.0005,  6.31211968917811  , moderate, 0.999999999999999  , 1.8734756207879695 , 1999.9999999999982   , exp1       , 1.8734756207879713, 15, 3.369203003839076 , 2.444398619257352 , normal   , 10
 9.623200699612    ,  7923.3584552359225   , 0.0005, 18.164196202729638 , moderate, 0.9999999999999994 , 3.9616792276179615 , 1999.9999999999986   , exp1       , 3.9616792276179638, 15, 4.584973986813973 , 2.429071145519809 , normal   , 10
 7.311194615770311 ,  5875.466552035681    , 0.0005, 13.27244054043003  , moderate, 1.0000000000000002 , 2.9377332760178407 , 2000.0000000000005   , exp1       , 2.93773327601784  , 15, 4.517918848787084 , 2.4887196790311714, normal   , 10
 9.016256445565583 ,  7958.8218434698865   , 0.0005, 16.79709906520658  , moderate, 1.0000000000000002 , 3.979410921734943  , 2000.0000000000005   , exp1       , 3.9794109217349423, 15, 4.221001398338473 , 2.265726416018047 , normal   , 10
 6.368054101067407 ,  3355.58292886533     , 0.0005,  9.793558269542633 , moderate, 0.9999999999999994 , 1.677791464432665  , 1999.9999999999989   , exp1       , 1.677791464432666 , 15, 5.837172543284013 , 3.7954979722230986, normal   , 10
 4.090629990183605 ,  3050.2932924125103   , 0.0005,  7.045561877085397 , moderate, 0.9999999999999996 , 1.525146646206255  , 1999.9999999999993   , exp1       , 1.5251466462062557, 15, 4.619596348069849 , 2.6821224046611465, normal   , 10
14.21587774966131  ,  5433.250636105235    , 0.001 , 26.87813933073933  , moderate, 1.0000000000000007 , 5.433250636105234  , 1000.0000000000007   , exp1       , 5.433250636105231 , 15, 4.9469721039791095, 2.616459041148121 , normal   , 10
