dual2              , n , pol_short            , alpha_pes_over_opt , dual2_over_opt    , dist_type, dual1              , pol_weight         , opt_over_weight    , dual1_over_opt    , opt_over_short        , overlap , opt_conserv        , p_star, opt_over_ratio     , upper_over_opt       , m , pol_ratio          , upper_pstar           , weight_mode, alpha_pes
 1.8515385006327527,  8, 0.33485870072431456  , 1.0000000000000002 , 1.8710854712010228, constant ,  1.8515385006327527,  0.9895531386090449, 0.9999999999999983 , 1.8710854712010228,    2.9551364096814416 , sparse  ,  0.9895531386090433, 1.0   , 1.0625106766959143 ,    1.0000000000000002, 10,  0.9313347717937793,     0.9895531386090434, uniform01  ,  0.9895531386090434
 1.6413075916249091,  8, 0.9927264736993707   , 0.9999999999999997 , 1.2216845759883175, constant ,  1.6413075916249091,  1.3434790156838359, 1.0                , 1.2216845759883175,    1.3533224420593866 , sparse  ,  1.3434790156838359, 1.0   , 1.0                ,    0.9999999999999997, 10,  1.3434790156838359,     1.3434790156838354, uniform01  ,  1.3434790156838354
 2.13200059161938  ,  8, 1.1194256969643415   , 1.0                , 1.5239954919156267, constant ,  2.13200059161938  ,  1.257728849938003 , 1.112286370545542  , 1.5239954919156267,    1.249707471805985  , sparse  ,  1.39895465762796  , 1.0   , 1.249707471805985  ,    1.0               , 10,  1.1194256969643415,     1.39895465762796  , uniform01  ,  1.39895465762796
 1.2203070745937024,  8, 0.021952938053560887 , 1.0000000000000002 , 1.51916019582414  , constant ,  1.2203070745937024,  0.8032774146848214, 1.0000000000000002 , 1.51916019582414  ,   36.59088422355956   , sparse  ,  0.8032774146848215, 1.0   , 1.0000000000000002 ,    1.0000000000000002, 10,  0.8032774146848214,     0.8032774146848216, uniform01  ,  0.8032774146848216
 3.9140270898221603,  8, 2.3861609485847755   , 0.6818231255302906 , 1.2270494352930148, uniform  ,  4.217071562978852 ,  3.1810157380747692, 1.0027575705764948 , 1.3220540280365165,    1.3367864457631429 , sparse  ,  3.1897876134774514, 0.12  , 1.0427194481955944 ,    5.681859379419088 , 10,  3.0591043631125485,    18.123924669991688 , exp1       ,  2.1748709603990024
 4.788048079184186 ,  8, 1.9183557710708519   , 0.6875931274759075 , 1.390838106930862 , uniform  ,  5.88659286620493  ,  3.328229658077664 , 1.0343526589658099 , 1.7099447505339542,    1.794538452353817  , sparse  ,  3.4425631964814998, 0.1465, 1.0884460985539866 ,    4.693468446934523 , 10,  3.1628237733177467,    16.157561739263972 , exp1       ,  2.3670827948021715
 2.698150512549424 ,  8, 1.7927879935344175   , 0.8142241772930172 , 1.6325117239262605, uniform  ,  2.6821836210566197,  1.5907245768272265, 1.03899838537345   , 1.6228509813415068,    0.9218938730390507 , sparse  ,  1.6527602668973527, 0.198 , 0.9039350272500992 ,    4.112243319661703 , 10,  1.828406043657018 ,     6.796552366550931 , exp1       ,  1.3457173685770845
 5.332202437756632 ,  8, 1.896080698837408    , 0.954841097638014  , 1.4331196639639145, uniform  ,  6.313596718119781 ,  4.106183828968402 , 0.9061201448609397 , 1.6968859889877386,    1.9623088237815307 , sparse  ,  3.7206958859304966, 0.182 , 0.9034760876961165 ,    5.246379657351725 , 10,  4.118200732261051 ,    19.52018320713801  , exp1       ,  3.552673343699118
 4.483707447552184 ,  8, 2.9452675689493937   , 0.9786453491859175 , 1.3129151388090392, uniform  ,  4.929224312121213 ,  3.4414695874471604, 0.9923312678564716 , 1.4433709820881868,    1.1595136261997145 , sparse  ,  3.415077879000929 , 0.161 , 0.9889885356851477 ,    6.078542541527438 , 10,  3.453101583867243 ,    20.75869617013644  , exp1       ,  3.342150083391967
 2.781693658376538 ,  8, 1.7466139184984355   , 0.6939111503324003 , 1.3527295099076742, uniform  ,  3.3420777519231084,  2.0233167869435484, 1.016329312192093  , 1.6252426595640326,    1.1773386989775636 , sparse  ,  2.0563561584210523, 0.0955, 1.0830116780524417 ,    7.266085343794767 , 10,  1.8987386748395516,    14.94165934432532  , exp1       ,  1.426928467383068
 2.626955228685031 ,  8, 0.6377209627828166   , 0.8535033183394486 , 1.392142092262002 , uniform  ,  3.0405415429382585,  2.098625841020083 , 0.8991540197269082 , 1.6113201393669883,    2.958955359757567  , sparse  ,  1.8869878608559711, 0.1385, 1.083695847429345  ,    6.162478832775801 , 10,  1.7412522760257225,    11.628522750229811 , exp1       ,  1.610550400906829
 6.834985246466724 ,  8, 0.7293420990497926   , 0.9977043548189294 , 1.7407930167663497, uniform  ,  9.13251833718303  ,  4.204220410606205 , 0.9339098787771308 , 2.3259485680787786,    5.383431148615933  , sparse  ,  3.9263629740215804, 0.1   , 0.8977663149107826 ,    9.977043548189293 , 10,  4.3734799455154105,    39.17349437781134  , exp1       ,  3.9173494377811338
 7.628207810089451 ,  8, 6.237664117497086    , 0.9595625981446386 , 1.2173238474634593, uniform  ,  8.159303354981304 ,  6.246869039956093 , 1.0031225290791908 , 1.3020770802245463,    1.004602837239926  , sparse  ,  6.2663750701872525, 0.1415, 0.998376241567611  ,    6.781361117629956 , 10,  6.276566698290053 ,    42.49455224945352  , exp1       ,  6.012979143297672
 1.9673957263696122,  8, 1.1760157908231645   , 0.6393071595899346 , 1.4204595458098779, uniform  ,  2.3958055857920835,  1.2574404252280376, 1.101477006689773  , 1.7297714275931322,    1.1777407467474732 , sparse  ,  1.385041715670894 , 0.1185, 1.0290057201854035 ,    5.39499712734122  , 10,  1.346000015841837 ,     7.472296077292229 , exp1       ,  0.8854670851591291
 5.2541085792338755,  8, 1.0691591848920818   , 0.9999999999999999 , 1.857062858781379 , normal   ,  8.557946951057113 ,  3.3664834327045163, 0.8404191847593779 , 3.024803387779794 ,    2.6462451073691704 , sparse  ,  2.829257262019482 , 0.001 , 0.8472908783850961 ,  999.9999999999999   , 10,  3.3391805980632503,  2829.2572620194815   , exp1       ,  2.8292572620194814
11.438693941268905 ,  8, 5.444468141002928    , 1.0000000000000002 , 2.7727933220357928, normal   , 12.055325341822021 ,  7.14836480755606  , 0.5771015390276222 , 2.9222676797194627,    0.7577108039081234 , sparse  ,  4.125332331971495 , 0.0005, 0.5791072868017506 , 2000.0000000000002   , 10,  7.123606326479787 ,  8250.664663942991    , exp1       ,  4.125332331971496
 7.009754915050163 ,  8, 2.384308476247019    , 1.0000000000000004 , 2.724099918380165 , normal   , 10.481617427004013 ,  4.53578850180063  , 0.5673185769812578 , 4.073319755600815 ,    1.0792383217040127 , sparse  ,  2.5732370783294845, 0.0005, 0.5679908577312757 , 2000.000000000001    , 10,  4.530419888460456 ,  5146.474156658971    , exp1       ,  2.5732370783294853
 5.8471357974567075,  8, 2.607676310721548    , 1.0                , 2.6641250489772728, normal   ,  7.785009044807725 ,  3.5878958614966487, 0.6117144578586119 , 3.5470764355786204,    0.841656521073846  , sparse  ,  2.19476777176858  , 0.001 , 0.6528763286520392 ,  999.9999999999999   , 10,  3.3616899180584574,  2194.7677717685797   , exp1       ,  2.19476777176858
 9.432382553521302 ,  8, 5.08269446999589     , 0.9999999999999998 , 2.517917426069361 , normal   , 15.525272978827894 ,  5.195101611782911 , 0.7210840285775572 , 4.144377643300835 ,    0.7370312776438067 , sparse  ,  3.746104799094182 , 0.0015, 0.7229480091793348 ,  666.6666666666665   , 10,  5.181707054351846 ,  2497.4031993961207   , exp1       ,  3.746104799094181
 6.651286236776823 ,  8, 1.9129205598062693   , 0.9999999999999998 , 1.7682789511986188, normal   ,  9.105413347534212 ,  4.646009655769839 , 0.809607928643686  , 2.4207213749697405,    1.9663368845004852 , sparse  ,  3.7614462538663838, 0.0005, 0.8042860114414593 , 1999.9999999999995   , 10,  4.676752051331884 ,  7522.892507732766    , exp1       ,  3.761446253866383
