n_base,m_base,density,length,weight_mode,dist_type,dual2,n,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dual1,opt_mc,sdp_orig,lp_cons,p_star,m,dsrse_weight,alpha_pes,alpha_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,alpha_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,mu_pes_bound,alpha_pes_over_pstar,alpha_pes_over_pstar_over_opt,mu_pes_bound_over_opt,alpha_pes_over_pstar_gap,mu_pes_bound_gap
12,18,dense,long,uniform01,uniform,2.928681139941161,12.0,15.5,1.7584367551045428,2.053223673315928,1.6473373948688406,1.4853165728270696,3.387217065749247,1.9276808238744205,NaN,1.812821337903815,0.06063333333333334,31.133333333333333,1.8456013636557638,1.5852832842865048,0.8223785103076684,0.9404157137695902,1.0651263673356361,NaN,1.7571462162191995,1.5192770004605032,0.8545695814714174,0.7705199711650144,0.9574206169392263,0.9122032721009714,0.17920915953746294,0.06561741644516839,0.0686898769140757,NaN,0.789548716903532,0.5368922408024599,0.14424501156520303,0.2423179609873779,0.04532946011088299,0.09709844421871774,NaN,29.250998079962457,15.183150794394868,1.9930654825221485,14.183150794394868,0.9930654825221484
12,18,sparse,long,uniform01,uniform,2.0879128759023784,6.0,15.5,1.2744062512866774,1.4481701506908353,1.2723659066812099,1.1065415299105603,2.4452771329253356,1.3850622182959051,NaN,1.339779850847415,0.07503333333333333,31.133333333333333,1.3606829517398444,1.1835391518259015,0.8545025170653019,0.9673066185400662,1.045563247312149,NaN,1.7654637464112286,1.507450602812065,0.9186344771187609,0.7989110635563943,0.9823984321902481,0.9201075839427835,0.14322493689298244,0.05265712631465871,0.04512654448883122,NaN,0.8037139951238734,0.518994411342593,0.08120698410785175,0.2100149474347112,0.0191169661660186,0.08868209403642068,NaN,17.408698283412743,13.083693392455078,1.5491101169974058,12.083693392455078,0.664759835821735
14,21,dense,short,uniform01,uniform,3.6027831230710126,14.0,15.5,2.4589176197063427,2.792726027281834,2.3217051498524413,2.2378246156137704,3.8232027792400918,2.6361856397196104,NaN,2.5258151277165464,0.09016666666666667,21.0,2.543276347906792,2.267722945821713,0.8602288517370545,0.9581324963082634,1.059381397578235,NaN,1.4502782814820032,1.3666651804742442,0.8807062427133857,0.8488873400629667,0.9647561649631395,0.9327558661490463,0.14640604631462004,0.05438020929004905,0.06411161893287193,NaN,0.47061927619239535,0.3819377164631438,0.12548663116524478,0.1619270510666323,0.04002316762894125,0.07283088349279154,NaN,27.063029078854647,10.103613152653999,2.326397865189181,9.103613152654,1.3328724004947614
14,21,sparse,short,uniform01,uniform,2.5441733377257587,7.0,15.5,1.8018134605152043,1.9662492541179006,1.778136818114249,1.6784432738085886,2.7635353918903474,1.8926535097652386,NaN,1.8611152516203262,0.12230000000000003,21.0,1.8795211989873564,1.6737972401394459,0.8843653798771972,0.983336486059287,1.038884953834889,NaN,1.4601380430341586,1.3442361872360533,0.9394941065228606,0.8868201523145035,0.9930614289883883,0.9520038671730771,0.11547824642284493,0.026970523929688885,0.04200239070596144,NaN,0.4996498861374629,0.37449201189498094,0.06610672917650263,0.11254928878176988,0.011349654771870691,0.04762086657742059,NaN,15.128694391318051,7.985701654914537,1.7027855843205337,6.985701654914537,0.7658142606240689
14,21,dense,long,uniform01,uniform,3.1553236194245424,14.0,15.5,1.9224828043537192,2.215655043309113,1.8436397157243358,1.7841752539688487,3.6978930726861976,2.086098676786973,NaN,1.9989686459565583,0.04673333333333333,37.63333333333333,1.987523810992177,1.8210505462407185,0.8729455449564429,0.9582330252159438,1.0621046204399516,NaN,1.7726357405018465,1.5125476347477478,0.8837739730336849,0.8552688680656519,0.9527467866732834,0.9215684884641908,0.13419376039300293,0.04960732063386581,0.06556142437110893,NaN,0.8125241329578189,0.5358504533375199,0.12477378347436906,0.16179011781470284,0.053798390891093804,0.0899494539757231,NaN,41.81936694079113,19.887587626014447,2.7046013619285127,18.887587626014447,1.716404051983278
14,21,sparse,long,uniform01,uniform,2.2947689710567825,7.0,15.5,1.4658024471529185,1.6108352622274054,1.454746325923926,1.3727350343573048,2.6357570995170865,1.5500822264460246,NaN,1.4928611235105638,0.06560000000000002,37.63333333333333,1.5317182013988497,1.4151427092270714,0.9129468650651277,0.9630851177058811,1.0391934277710373,NaN,1.7003982463306222,1.4804175752135098,0.9384962301382672,0.8855885261678438,0.9881528703872186,0.9456288331965848,0.08681910459874426,0.04878814906980116,0.040925949705688705,NaN,0.7570825083514043,0.5160070996744385,0.06464899292292134,0.12997101134960906,0.014459092078838786,0.0625018425038695,NaN,24.128480509205012,15.969258705669375,2.0185328154227844,14.969258705669377,1.0859350634868405
16,24,dense,short,uniform01,uniform,3.860338076421639,16.0,15.5,2.5356508619650753,2.974478579694894,2.297407768910403,2.2006100325564666,4.1392849531483815,2.7573126537078165,NaN,2.594611187270899,0.07759999999999999,24.0,2.597320568379191,2.267404753698559,0.8223241389218346,0.9409927393550639,1.0787599932474288,NaN,1.501202610296006,1.4000363982048103,0.8332053914237946,0.7980995661109594,0.9419753559272719,0.919609482281718,0.1815830260173907,0.06388162909847335,0.08282891778044453,NaN,0.5236395091049394,0.41866483381642916,0.1693654713465421,0.21364289060835784,0.060262994293213606,0.08542316667494892,NaN,31.345730432400202,11.557143257198765,2.5397767978949886,10.557143257198765,1.5540756255849317
16,24,sparse,short,uniform01,uniform,2.6093632160333384,8.0,15.5,1.7118510637145563,1.935643854146987,1.6153854074253633,1.4895297879927647,2.8671949741761704,1.8385197963842355,NaN,1.7592073101412977,0.09413333333333335,24.0,1.7745796512300045,1.5187307958017053,0.8260617039797722,0.9568606841226733,1.0528273113804718,NaN,1.5595127013671548,1.4192739295846033,0.8786336761792263,0.8101788139144221,0.965221943609212,0.9311028725832624,0.176890711342899,0.05055921686653971,0.0592801288522423,NaN,0.573503025005604,0.4309384625938137,0.12241896949853294,0.19487946878285783,0.037245714801897645,0.07330363477740089,NaN,17.789648053274938,9.698937453777619,1.82975262153037,8.698937453777615,0.905737333626533
16,24,dense,long,uniform01,uniform,3.343632046189794,16.0,15.5,1.9586780074874137,2.3396950098528273,1.8076585968367633,1.6516854495965818,3.9952038762697697,2.159546668351411,NaN,2.027170307086422,0.03930000000000001,43.86666666666667,2.038366497424443,1.7405616529341705,0.8059847367238923,0.9387017825523334,1.0834195176893033,NaN,1.8500196984951902,1.5483027503833984,0.8370546575021334,0.7648297088469367,0.9438862921080208,0.9069857281587068,0.1955682927252686,0.06762064573323526,0.08656860280191386,NaN,0.8882040997564317,0.5675258139398089,0.1637485720278235,0.23887150055322723,0.06362817128375378,0.09720832119336764,NaN,46.528021545286755,21.90308214591975,2.7598289214932024,20.90308214591975,1.779576797974202
16,24,sparse,long,uniform01,uniform,2.3251434398818227,8.0,15.5,1.3608291744942502,1.5833652710473878,1.324783544463522,1.166427004405641,2.7822169701844204,1.4927704904787482,NaN,1.4219068431740325,0.04843333333333334,43.86666666666667,1.4489048777492246,1.2794116619497837,0.857071914343284,0.9525287726702121,1.0606890216188456,NaN,1.8637941920275582,1.557602762589528,0.887466327150297,0.7813840184042993,0.9706146303069969,0.911613126849672,0.1422739676961933,0.05859859508542232,0.06520721011762182,NaN,0.8858503359796628,0.5690592317659864,0.11052636268029943,0.2131590579686141,0.03278311178489888,0.08962094576411082,NaN,31.15752062457757,21.281099955437412,2.0029282893570612,20.281099955437412,1.0747202010006136
