Instance: n=40, m=60, length=short, density=dense, dist=uniform, rep=10
Instance: n=40, m=60, length=short, density=sparse, dist=uniform, rep=10
Instance: n=40, m=60, length=long, density=dense, dist=uniform, rep=10
Instance: n=40, m=60, length=long, density=sparse, dist=uniform, rep=10
Instance: n=80, m=120, length=short, density=dense, dist=uniform, rep=1
Instance: n=80, m=120, length=short, density=sparse, dist=uniform, rep=1
Instance: n=80, m=120, length=long, density=dense, dist=uniform, rep=1
Instance: n=80, m=120, length=long, density=sparse, dist=uniform, rep=1
Instance: n=80, m=120, length=short, density=dense, dist=uniform, rep=2
Instance: n=80, m=120, length=short, density=sparse, dist=uniform, rep=2
Instance: n=80, m=120, length=long, density=dense, dist=uniform, rep=2
Instance: n=80, m=120, length=long, density=sparse, dist=uniform, rep=2
Instance: n=80, m=120, length=short, density=dense, dist=uniform, rep=3
Instance: n=80, m=120, length=short, density=sparse, dist=uniform, rep=3
Instance: n=80, m=120, length=long, density=dense, dist=uniform, rep=3
Instance: n=80, m=120, length=long, density=sparse, dist=uniform, rep=3
Instance: n=80, m=120, length=short, density=dense, dist=uniform, rep=4
Instance: n=80, m=120, length=short, density=sparse, dist=uniform, rep=4
Instance: n=80, m=120, length=long, density=dense, dist=uniform, rep=4
Instance: n=80, m=120, length=long, density=sparse, dist=uniform, rep=4
Instance: n=80, m=120, length=short, density=dense, dist=uniform, rep=5
Instance: n=80, m=120, length=short, density=sparse, dist=uniform, rep=5
Instance: n=80, m=120, length=long, density=dense, dist=uniform, rep=5
Instance: n=80, m=120, length=long, density=sparse, dist=uniform, rep=5
Instance: n=80, m=120, length=short, density=dense, dist=uniform, rep=6
Instance: n=80, m=120, length=short, density=sparse, dist=uniform, rep=6
Instance: n=80, m=120, length=long, density=dense, dist=uniform, rep=6
Instance: n=80, m=120, length=long, density=sparse, dist=uniform, rep=6
Instance: n=80, m=120, length=short, density=dense, dist=uniform, rep=7
Instance: n=80, m=120, length=short, density=sparse, dist=uniform, rep=7
Instance: n=80, m=120, length=long, density=dense, dist=uniform, rep=7
Instance: n=80, m=120, length=long, density=sparse, dist=uniform, rep=7
Instance: n=80, m=120, length=short, density=dense, dist=uniform, rep=8
Instance: n=80, m=120, length=short, density=sparse, dist=uniform, rep=8
Instance: n=80, m=120, length=long, density=dense, dist=uniform, rep=8
Instance: n=80, m=120, length=long, density=sparse, dist=uniform, rep=8
Instance: n=80, m=120, length=short, density=dense, dist=uniform, rep=9
Instance: n=80, m=120, length=short, density=sparse, dist=uniform, rep=9
Instance: n=80, m=120, length=long, density=dense, dist=uniform, rep=9
Instance: n=80, m=120, length=long, density=sparse, dist=uniform, rep=9
Instance: n=80, m=120, length=short, density=dense, dist=uniform, rep=10
Instance: n=80, m=120, length=short, density=sparse, dist=uniform, rep=10
Instance: n=80, m=120, length=long, density=dense, dist=uniform, rep=10
Instance: n=80, m=120, length=long, density=sparse, dist=uniform, rep=10
Finished experiments (averaged). Rows: 40
40×52 DataFrame
 Row │ n_base  m_base  density  length  weight_mode  dist_type  dual2     n        mu_pes_bound  dsrse_ratio  lp_orig  cdsrse_weight  cdsrse_ratio  dual1     opt_mc    cdsrse_lp_adaptive  sdp_orig  lp_cons  dsrse_lp_adaptive  alpha_pes_over_pstar  p_star   m        dsrse_weight  alpha_pes  alpha_gap  alpha_pes_over_pstar_gap  lp_cons_gap  lp_orig_gap  sdp_orig_gap  dual1_gap  dual2_gap  mu_pes_bound_gap  cdsrse_w_gap  cdsrse_r_gap  dsrse_w_gap  dsrse_r_gap  cdsrse_lp_adaptive_gap  dsrse_lp_adaptive_gap  alpha_over_opt  alpha_pes_over_pstar_over_opt  lp_cons_over_opt  lp_orig_over_opt  sdp_orig_over_opt  dual1_over_opt  dual2_over_opt  mu_pes_bound_over_opt  cdsrse_w_over_opt  cdsrse_r_over_opt  dsrse_w_over_opt  dsrse_r_over_opt  cdsrse_lp_adaptive_over_opt  dsrse_lp_adaptive_over_opt
