density,dual2,n,mu_pes_bound,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dist_type,n_base,dual1,opt_mc,length,cdsrse_lp_adaptive,sdp_orig,lp_cons,m_base,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,dsrse_weight,weight_mode,alpha_pes,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap
dense,3.100176090416611,8,NaN,6,2.685803885976034,NaN,2.685803885976034,2.685803885976034,uniform,8,3.365832682898212,2.685803885976034,short,2.1362390570635204,NaN,NaN,12,2.0896512954780677,7.830332029084618,0.343,12,2.5991725305284725,uniform01,2.685803885976024,0.9999999999999963,2.915451895043721,NaN,NaN,NaN,1.253193764620328,1.154282375792301,NaN,1.0,1.0,0.967744720342424,1.0,0.7953816241825866,0.7780356959006628,3.6637359812630166e-15,1.915451895043721,NaN,NaN,NaN,0.25319376462032794,0.15428237579230109,NaN,0.0,0.0,0.03225527965757602,0.0,0.20461837581741338,0.2219643040993372
sparse,1.512879844879385,4,NaN,6,1.3552829107434465,NaN,1.3552829107434465,1.3552829107434465,uniform,8,1.6187265061366787,1.3552829107434465,short,1.3552829107434523,NaN,NaN,12,1.3552829107434523,2.817635989071621,0.481,12,1.3552829107434465,uniform01,1.3552829107434496,1.0000000000000022,2.079002079002084,NaN,NaN,NaN,1.194382732420583,1.1162834216285424,NaN,1.0,1.0,1.0,1.0,1.0000000000000042,1.0000000000000042,2.220446049250313e-15,1.079002079002084,NaN,NaN,NaN,0.1943827324205829,0.11628342162854244,NaN,0.0,0.0,0.0,0.0,4.218847493575595e-15,4.218847493575595e-15
dense,2.9491053565141128,8,NaN,6,2.1088206190270413,NaN,1.599774306254422,1.7684042468467094,uniform,8,3.1676785653941537,2.1209510689950974,long,1.6048643833783562,NaN,NaN,12,1.6082577681276429,7.946250412329779,0.2,17,1.9891179872158045,uniform01,1.589250082465956,0.7493101117221622,3.746550558610811,NaN,NaN,NaN,1.493517984313987,1.3904636460620439,NaN,0.7542721421727056,0.8337788988619035,0.9378424690194502,0.9942806554354865,0.7566720453097194,0.758271980734394,0.2506898882778378,2.746550558610811,NaN,NaN,NaN,0.49351798431398697,0.39046364606204387,NaN,0.24572785782729445,0.16622110113809652,0.06215753098054977,0.005719344564513507,0.24332795469028057,0.24172801926560605
sparse,1.4727520354278976,4,NaN,6,1.2663674022767835,NaN,1.2663674022767835,1.2684844381926565,uniform,8,1.6266857326579314,1.265308884318847,long,1.2658381432978159,NaN,NaN,12,1.2621333304450384,3.506924184113572,0.311,17,1.2729831395138866,uniform01,1.0906534212593209,0.861966145006918,2.771595321565653,NaN,NaN,NaN,1.2856036599581961,1.1639466486641508,NaN,1.00083656881814,1.0025097064544197,1.0060651239315141,1.00083656881814,1.0004182844090705,0.9974902935455812,0.13803385499308196,1.7715953215656528,NaN,NaN,NaN,0.28560365995819614,0.16394664866415076,NaN,0.0008365688181399822,0.0025097064544197245,0.006065123931514149,0.0008365688181399822,0.0004182844090705462,0.0025097064544188363
dense,2.7431256325424016,8,NaN,7,1.9159987587562484,NaN,1.8745877046054025,1.8745877046054025,uniform,8,3.365533079381054,1.922411885990082,short,1.8745877046054016,NaN,NaN,12,1.9057574694093877,14.645216442229675,0.128,12,1.9222827457538756,uniform01,1.8745877046053985,0.9751228226722843,7.618147052127221,NaN,NaN,NaN,1.750682621090711,1.42691878495624,NaN,0.9751228226722864,0.9751228226722864,0.9999328238463632,0.9966640201922541,0.975122822672286,0.9913367074444003,0.02487717732771566,6.618147052127221,NaN,NaN,NaN,0.7506826210907109,0.4269187849562399,NaN,0.02487717732771355,0.02487717732771355,6.717615363682761e-5,0.0033359798077459146,0.024877177327713995,0.008663292555599722
sparse,1.7343483558852575,4,NaN,7,1.2919183225586275,NaN,0.9495864299327632,0.9495864299327632,uniform,8,1.8563441789725006,1.3090303935063898,short,1.252756820464362,NaN,NaN,12,1.2577628430319248,8.047342626548804,0.118,12,1.2403543009660989,uniform01,0.9495864299327589,0.7254120566209172,6.14755980187218,NaN,NaN,NaN,1.4181062473271284,1.3249106854116688,NaN,0.7254120566209206,0.7254120566209206,0.9475366707442643,0.9869276748403636,0.9570112555665782,0.9608354773664659,0.27458794337908277,5.14755980187218,NaN,NaN,NaN,0.4181062473271284,0.3249106854116688,NaN,0.27458794337907944,0.27458794337907944,0.05246332925573571,0.013072325159636411,0.04298874443342182,0.03916452263353409
dense,2.964096804410821,8,NaN,7,1.6886905832822277,NaN,1.6944315237936785,1.6955250362720502,uniform,8,3.95779916319744,1.709981707457428,long,1.694704901913271,NaN,NaN,12,1.7021029886100179,23.205936014673902,0.069,25,1.7066217150227712,uniform01,1.6012095850124994,0.9363898912072798,13.5708679885113,NaN,NaN,NaN,2.314527194026123,1.7334084870522604,NaN,0.9909062280631814,0.9915457158855381,0.9980350711238586,0.9875489169958093,0.9910661000187704,0.9953925127894351,0.06361010879272022,12.5708679885113,NaN,NaN,NaN,1.3145271940261232,0.7334084870522604,NaN,0.009093771936818595,0.008454284114461919,0.001964928876141414,0.012451083004190733,0.00893389998122962,0.00460748721056492
sparse,1.6913826660558353,4,NaN,7,1.1228246689206234,NaN,0.9495864299327632,0.9495864299327632,uniform,8,2.022463885525036,1.1191083675070836,long,1.0154760047994504,NaN,NaN,12,1.0260074856680104,14.172931790041176,0.067,25,1.1073753068167413,uniform01,0.9495864299327589,0.8485205342964681,12.664485586514449,NaN,NaN,NaN,1.8072100470754764,1.5113662940645731,NaN,0.848520534296472,0.848520534296472,0.9895157064043059,1.0033207699284905,0.9073973837417696,0.9168079834426902,0.15147946570353188,11.664485586514449,NaN,NaN,NaN,0.8072100470754764,0.5113662940645731,NaN,0.151479465703528,0.151479465703528,0.010484293595694139,0.003320769928490508,0.09260261625823041,0.08319201655730979
dense,2.2916432443463695,8,NaN,8,2.1665231255088466,NaN,1.952313106462387,1.952313106462387,uniform,8,2.225272618313541,2.169283911097879,short,1.4427869786778174,NaN,NaN,12,1.4557450494241424,11.904348210136538,0.164,12,2.171261796384251,uniform01,1.9523131064623924,0.8999804481444399,5.487685659417316,NaN,NaN,NaN,1.0258097646551605,1.0564054030099566,NaN,0.8999804481444375,0.8999804481444375,1.0009117687529296,0.99872732860143,0.6650982710454069,0.6710717034209629,0.10001955185556011,4.487685659417316,NaN,NaN,NaN,0.025809764655160494,0.056405403009956556,NaN,0.10001955185556255,0.10001955185556255,0.0009117687529296425,0.0012726713985700133,0.33490172895459314,0.3289282965790371
sparse,1.6714242679420162,4,NaN,8,1.5269277820285652,NaN,1.5269277820285652,1.5269277820285652,uniform,8,1.8121087694222275,1.5269277820285652,short,1.5269277820285652,NaN,NaN,12,1.5269277820285652,6.156966863018408,0.248,12,1.5269277820285652,uniform01,1.5269277820285652,1.0,4.032258064516129,NaN,NaN,NaN,1.1867678293303379,1.0946321676860733,NaN,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.032258064516129,NaN,NaN,NaN,0.18676782933033786,0.0946321676860733,NaN,0.0,0.0,0.0,0.0,0.0,0.0
