n_base,m_base,density,length,weight_mode,dist_type,dual2,n,mu_pes_bound,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dual1,opt_mc,cdsrse_lp_adaptive,sdp_orig,lp_cons,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,dsrse_weight,alpha_pes,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt
19,29,dense,short,uniform01,uniform,4.211845112407385,19.0,NaN,2.6043100980205955,NaN,2.5835909078505668,2.2498680198612706,4.583979258328069,2.9323971724104063,2.332043737313589,NaN,NaN,2.5588940987976483,33.391662219530744,0.0721,29.0,2.772165543818954,2.3227949135151755,0.21252651879173232,10.299450649980091,NaN,NaN,NaN,0.583789621985083,0.44971765251474694,NaN,0.1170759748216462,0.24160505506803753,0.057986081022570246,0.11327229565045664,0.21725658440815737,0.15007172875066563,0.7921147023906919,11.387155373664159,NaN,NaN,NaN,1.5632190964636883,1.4363146820746941,NaN,0.8810508113151931,0.7672453244155524,0.9453581424443459,0.8881164265616428,0.795268717094236,0.8726287567295185
19,29,sparse,short,uniform01,uniform,2.937215991548514,9.0,NaN,1.9325437872638145,NaN,1.846414917786176,1.6974073651574568,3.275560299565597,2.0630083228935177,1.8283855816278134,NaN,NaN,1.9602962834388022,20.145335703944067,0.0893,29.0,2.0240916449669446,1.702523665034688,0.1642259034645483,8.834106545749984,NaN,NaN,NaN,0.6813528032832142,0.4935157213254211,NaN,0.10194752082625871,0.1734528800882043,0.02170451401390807,0.07177415672088895,0.11125500481296088,0.05685879024596345,0.8252626255267724,9.765028807876442,NaN,NaN,NaN,1.5877591298184333,1.4237538253984634,NaN,0.8950108912776688,0.8227826065077241,0.9811359568961944,0.9367600536643899,0.8862715488531675,0.9502124939027612
19,29,dense,long,uniform01,uniform,3.652235085777871,19.0,NaN,2.1359592439467328,NaN,2.088279969886723,1.9150736344261934,4.351016975186453,2.3761462275704486,1.7029437661262878,NaN,NaN,1.938192652892792,59.546762623527535,0.034600000000000006,51.5,2.277815619379046,1.9841862103611738,0.1723423004787116,23.978549503989388,NaN,NaN,NaN,0.865692217920401,0.5597011286455625,NaN,0.1237451641978157,0.2066393944302199,0.04150596041727502,0.10888008196584997,0.2821075532289499,0.1903874313638123,0.8350438147865823,25.060226484635436,NaN,NaN,NaN,1.831123406759045,1.537041383817608,NaN,0.8788516235475702,0.8059578203586861,0.9586176107133175,0.8989174231632616,0.7166830670465538,0.8156874481898139
19,29,sparse,long,uniform01,uniform,2.571735599034921,9.0,NaN,1.5891160670554227,NaN,1.5983953056974751,1.503167689337791,3.067876377808555,1.7071144876650268,1.374460471978929,NaN,NaN,1.4656918774830385,39.53015335730926,0.0436,51.5,1.6401429875454538,1.562774580582759,0.0818359856639543,22.010657548073347,NaN,NaN,NaN,0.8907641725120492,0.5681337568091522,NaN,0.05755112499719608,0.12602796806377908,0.03267902385627851,0.07659889987120826,0.17696860113385626,0.13414742437854552,0.9154480217201517,23.156123179165437,NaN,NaN,NaN,1.7971122616414346,1.5064810342934374,NaN,0.9363140651941531,0.8805312708662018,0.9607691806240976,0.9308784375844639,0.8051366688703472,0.8585785476449189
20,30,dense,short,uniform01,uniform,4.583358221781412,20.0,NaN,3.1144876744845855,NaN,2.769164786910456,2.7260373898530093,4.907696232451267,3.337618032621779,2.453612767342834,NaN,NaN,2.69346079392511,48.52280763205842,0.057100000000000005,30.0,3.0997723912302595,2.632663417001335,0.22440951973184903,13.190775608291395,NaN,NaN,NaN,0.475903533579569,0.37462173270260546,NaN,0.17879590605361323,0.19028532009559088,0.0771169511608658,0.06893338719249995,0.2617983509610902,0.18949682143930208,0.7887851129966825,14.538154803155408,NaN,NaN,NaN,1.4704187790464907,1.3732422874588421,NaN,0.829682953485007,0.8167613439311513,0.9287379085722742,0.9331468262825992,0.7351388754978239,0.8070009113083956
20,30,sparse,short,uniform01,uniform,3.108412741668098,10.0,NaN,1.950131592961759,NaN,1.8364579900842741,1.7056664681684386,3.4382166755148296,2.150140276694659,1.9029056731460803,NaN,NaN,2.0301229380955825,28.615774994867557,0.06450000000000002,30.0,2.047015470794301,1.7092461059478965,0.2012737662089969,12.126554294566649,NaN,NaN,NaN,0.6180421207565899,0.45349374581482654,NaN,0.1536483892712988,0.20979662107363123,0.04873846501774689,0.10036954333725605,0.11310601662935209,0.05667218667858148,0.7949463225606215,13.308794456358754,NaN,NaN,NaN,1.599066215716999,1.4456790449256456,NaN,0.8541107805800473,0.793281483378612,0.9520381032725508,0.906978774407981,0.8850146633555256,0.944181623915452
20,30,dense,long,uniform01,uniform,3.952956045902451,20.0,NaN,2.360077997084944,NaN,2.172844914013938,2.081136962309043,4.8538564912539135,2.6150547582225347,1.5722257943182336,NaN,NaN,1.6819949797146339,76.64253949073228,0.030700000000000005,60.3,2.431127628884058,2.169783805314269,0.18347408339279508,27.289133454932557,NaN,NaN,NaN,0.89903085988402,0.5355316163324998,NaN,0.17410970119470592,0.22027778457907604,0.07533380441264267,0.11403238079786462,0.3789528884175634,0.33370826375661655,0.8297278664975571,29.30819679769405,NaN,NaN,NaN,1.8561204028297682,1.5116150181839,NaN,0.830898438046793,0.7958292099870221,0.9296660504870297,0.9024965881361124,0.6012209837574809,0.6431968487183396
20,30,sparse,long,uniform01,uniform,2.6646479755984793,10.0,NaN,1.5375405447441366,NaN,1.449007479761134,1.4428443777770195,3.328525239581681,1.686511201945678,1.3826149266689094,NaN,NaN,1.4249511532081733,57.42368798174325,0.032100000000000004,60.3,1.6050575381431156,1.4608504318074798,0.14349655050568963,30.621207954515217,NaN,NaN,NaN,0.9817692831620348,0.5848523996865375,NaN,0.15076874860115436,0.15507242282296846,0.05306724921590598,0.0973950824921688,0.18370079112709692,0.16038941737397955,0.8661966965426259,34.04880318345662,NaN,NaN,NaN,1.973615850129937,1.5799764463611945,NaN,0.8591745362197755,0.8555201863542042,0.9517028622705904,0.9116693342862601,0.8198077339028804,0.8449105772699579
40,60,dense,short,uniform01,uniform,6.844872137442938,40.0,NaN,4.4062376648505275,NaN,3.680215416126727,3.696473380659257,7.283392091447612,4.873985071672005,3.486378480884935,NaN,NaN,3.8016542231085557,150.68115779007124,0.027100000000000003,60.0,4.385377886565049,3.885019589437415,0.1992595737482405,30.436719028799587,NaN,NaN,NaN,0.49757484125023793,0.40398946568236926,NaN,0.242557382137892,0.24354352639617255,0.10630471395789162,0.10068083936457377,0.2889665388034385,0.2223270665479195,0.7970930424094779,30.915391732699863,NaN,NaN,NaN,1.494340254298126,1.4043687120065034,NaN,0.7550731818027996,0.7584088433391927,0.8997520144354196,0.9040318343320206,0.715303479517828,0.7799888935245365
40,60,sparse,short,uniform01,uniform,4.807362918852547,20.0,NaN,3.0701380081156047,NaN,2.748254886781852,2.527460419223196,5.247691547604277,3.317408908157148,2.5850403890960534,NaN,NaN,2.845326194902956,83.54724568923233,0.03130000000000001,60.0,3.1140192009617675,2.5813365825976913,0.22826808471942356,23.966017265092322,NaN,NaN,NaN,0.5775393636946274,0.44752356314469177,NaN,0.17397872868516076,0.24881290997571698,0.06455558944799625,0.08033392841524498,0.2221665390235607,0.14207466191343765,0.7781183007769905,25.18448825642167,NaN,NaN,NaN,1.5818645493779118,1.449131853185709,NaN,0.828434167408242,0.7618778658875743,0.9386901908006374,0.9254626406067907,0.779234776496717,0.8576953500988702
