density,dual2,n,dsrse_lp_adaptive_failed_solves,lp_cons_status,mu_pes_bound,cdsrse_lp_adaptive_failed_solves,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dist_type,dsrse_lp_adaptive_total_solves,n_base,dual1,lp_orig_status,opt_mc,length,cdsrse_lp_adaptive,sdp_orig,lp_cons,m_base,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,cdsrse_lp_adaptive_total_solves,dsrse_weight,weight_mode,alpha_pes,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap
dense,1.9861550702999495,8,500,NO_OPTIMIZER,NaN,500,6,1.36665360119487,NaN,1.3049991617630958,1.3049991617630958,uniform,500,8,2.375358562710663,NO_OPTIMIZER,1.3656725230060085,short,NaN,NaN,NaN,12,NaN,6.460391889916317,0.202,12,500,1.363500817360291,uniform01,1.304999161763096,0.9555725401069335,4.730557129242245,NaN,NaN,NaN,1.739332470043561,1.454342118510362,NaN,0.9555725401069333,0.9555725401069333,0.9984097903347009,1.0007183846583527,NaN,NaN,0.04442745989306651,3.7305571292422446,NaN,NaN,NaN,0.7393324700435611,0.454342118510362,NaN,0.044427459893066734,0.044427459893066734,0.0015902096652991027,0.000718384658352722,NaN,NaN
sparse,1.1278912250077318,4,500,NO_OPTIMIZER,NaN,500,6,0.2050676477787826,NaN,0.8073123550284363,0.2050676477787826,uniform,500,8,1.219901286111858,NO_OPTIMIZER,0.8073123550284363,short,NaN,NaN,NaN,12,NaN,4.226766256693373,0.191,12,500,0.8073123550284363,uniform01,0.8073123550284342,0.9999999999999973,5.235602094240824,NaN,NaN,NaN,1.5110648047358186,1.3970939723423452,NaN,1.0,0.2540127702759602,1.0,0.2540127702759602,NaN,NaN,2.6645352591003757e-15,4.235602094240824,NaN,NaN,NaN,0.5110648047358186,0.3970939723423452,NaN,0.0,0.7459872297240397,0.0,0.7459872297240397,NaN,NaN
dense,2.047867753061387,8,500,NO_OPTIMIZER,NaN,500,6,1.0517805229025625,NaN,1.10940735531859,0.9789161853922811,uniform,500,8,2.4082155433094212,NO_OPTIMIZER,1.2499609134217453,long,NaN,NaN,NaN,12,NaN,8.899238049020784,0.11,23,500,1.2415221530554759,uniform01,0.9789161853922862,0.7831574370693888,7.119613064267171,NaN,NaN,NaN,1.9266326790307187,1.638345432302668,NaN,0.8875536374026348,0.7831574370693847,0.9932487806013321,0.8414507298658903,NaN,NaN,0.21684256293061122,6.119613064267171,NaN,NaN,NaN,0.9266326790307187,0.638345432302668,NaN,0.11244636259736518,0.21684256293061532,0.0067512193986678515,0.1585492701341097,NaN,NaN
sparse,1.1932105458331692,4,500,NO_OPTIMIZER,NaN,500,6,0.2050676477787826,NaN,0.8073123550284363,0.2050676477787826,uniform,500,8,1.3140470234797832,NO_OPTIMIZER,0.8073123550284363,long,NaN,NaN,NaN,12,NaN,6.458498840227474,0.125,23,500,0.8073123550284363,uniform01,0.8073123550284342,0.9999999999999973,7.999999999999979,NaN,NaN,NaN,1.6276810521913763,1.4780035737111197,NaN,1.0,0.2540127702759602,1.0,0.2540127702759602,NaN,NaN,2.6645352591003757e-15,6.999999999999979,NaN,NaN,NaN,0.6276810521913763,0.4780035737111197,NaN,0.0,0.7459872297240397,0.0,0.7459872297240397,NaN,NaN
dense,1.8103046090254156,8,500,NO_OPTIMIZER,NaN,500,7,0.9810079702196838,NaN,0.9468652271325424,0.9468652271325424,uniform,500,8,2.0948645287653975,NO_OPTIMIZER,1.3203325836426527,short,NaN,NaN,NaN,12,NaN,7.455631709705041,0.127,12,500,1.313149112537593,uniform01,0.9468652271325402,0.7171414527393113,5.646783092435522,NaN,NaN,NaN,1.5866188221954625,1.3710974276125063,NaN,0.717141452739313,0.717141452739313,0.9945593472477658,0.7430006517851665,NaN,NaN,0.2828585472606887,4.646783092435522,NaN,NaN,NaN,0.5866188221954625,0.3710974276125063,NaN,0.28285854726068704,0.28285854726068704,0.005440652752234154,0.2569993482148335,NaN,NaN
sparse,1.6314255773270607,4,500,NO_OPTIMIZER,NaN,500,7,1.2405417218610815,NaN,0.8153805294255658,0.8153805294255658,uniform,500,8,1.713812858636618,NO_OPTIMIZER,1.2475575831223935,short,NaN,NaN,NaN,12,NaN,4.036537274383977,0.202,12,500,1.2300179299691139,uniform01,0.8153805294255634,0.6535814782872185,3.235551872709002,NaN,NaN,NaN,1.3737344727185083,1.3076956121287167,NaN,0.6535814782872205,0.6535814782872205,0.9859408067486702,0.994376322699468,NaN,NaN,0.34641852171278154,2.235551872709002,NaN,NaN,NaN,0.37373447271850835,0.30769561212871666,NaN,0.34641852171277954,0.34641852171277954,0.01405919325132976,0.005623677300532037,NaN,NaN
dense,1.7967387209258996,8,500,NO_OPTIMIZER,NaN,500,7,0.9468652271325424,NaN,0.9468652271325424,0.9468652271325424,uniform,500,8,2.4096843434395,NO_OPTIMIZER,1.0238769370371765,long,NaN,NaN,NaN,12,NaN,12.458752988586054,0.076,23,500,1.0038753699749667,uniform01,0.9468652271325402,0.9247842127126259,12.16821332516613,NaN,NaN,NaN,2.3534902059738507,1.7548385513254907,NaN,0.9247842127126281,0.9247842127126281,0.9804648719600141,0.9247842127126281,NaN,NaN,0.0752157872873741,11.16821332516613,NaN,NaN,NaN,1.3534902059738507,0.7548385513254907,NaN,0.07521578728737188,0.07521578728737188,0.019535128039985916,0.07521578728737188,NaN,NaN
sparse,1.410133208184887,4,500,NO_OPTIMIZER,NaN,500,7,0.8883454865432125,NaN,0.8153805294255658,0.8153805294255658,uniform,500,8,1.5502141834827075,NO_OPTIMIZER,0.8792248669035069,long,NaN,NaN,NaN,12,NaN,7.28018329844253,0.112,23,500,0.8876439004170813,uniform01,0.8153805294255634,0.9273856553866665,8.28022906595238,NaN,NaN,NaN,1.7631600763776398,1.6038368127043048,NaN,0.9273856553866693,0.9273856553866693,1.0095755179709884,1.0103734778019042,NaN,NaN,0.07261434461333349,7.28022906595238,NaN,NaN,NaN,0.7631600763776398,0.6038368127043048,NaN,0.07261434461333072,0.07261434461333072,0.009575517970988434,0.01037347780190423,NaN,NaN
dense,2.194385783038598,8,500,NO_OPTIMIZER,NaN,500,8,1.608987339552426,NaN,1.500837364656193,1.0467830262749933,uniform,500,8,2.5094905818451188,NO_OPTIMIZER,1.7358668411266815,short,NaN,NaN,NaN,12,NaN,6.956291762439306,0.163,12,500,1.6278713789544665,uniform01,1.133875557277607,0.6532042265071748,4.007387892682054,NaN,NaN,NaN,1.4456699802021156,1.2641440754835263,NaN,0.8646039713979787,0.6030318694235605,0.9377858602897677,0.9269071229611695,NaN,NaN,0.3467957734928252,3.007387892682054,NaN,NaN,NaN,0.44566998020211557,0.26414407548352625,NaN,0.13539602860202127,0.39696813057643954,0.062214139710232264,0.0730928770388305,NaN,NaN
sparse,0.9111313934713998,4,500,NO_OPTIMIZER,NaN,500,8,0.28890087525779395,NaN,0.5095036596884776,0.28890087525779395,uniform,500,8,1.0447072188945392,NO_OPTIMIZER,0.6336929047572485,short,NaN,NaN,NaN,12,NaN,2.0138484572667164,0.253,12,500,0.6348852924437737,uniform01,0.5095036596884792,0.8040229831572077,3.177956455166829,NaN,NaN,NaN,1.6486017297207072,1.4378122062459118,NaN,0.8040229831572051,0.4559004418212075,1.0018816491041225,0.4559004418212075,NaN,NaN,0.19597701684279234,2.177956455166829,NaN,NaN,NaN,0.6486017297207072,0.4378122062459118,NaN,0.1959770168427949,0.5440995581787925,0.0018816491041224737,0.5440995581787925,NaN,NaN
dense,1.9701479186618036,8,500,NO_OPTIMIZER,NaN,500,8,0.8726656946292718,NaN,1.0519706702517237,0.541346049709535,uniform,500,8,2.504103550726824,NO_OPTIMIZER,1.0922214273733015,long,NaN,NaN,NaN,12,NaN,9.977800000071905,0.091,16,500,1.0530452289848968,uniform01,0.9079798000065434,0.8313147657157365,9.135327095777324,NaN,NaN,NaN,2.292670229652038,1.8037990001714577,NaN,0.963147804911338,0.4956376391657374,0.9641316335620516,0.7989823974868884,NaN,NaN,0.16868523428426352,8.135327095777324,NaN,NaN,NaN,1.292670229652038,0.8037990001714577,NaN,0.036852195088662,0.5043623608342627,0.03586836643794844,0.20101760251311163,NaN,NaN
sparse,0.7932795764039292,4,500,NO_OPTIMIZER,NaN,500,8,0.28890087525779395,NaN,0.5095036596884776,0.28890087525779395,uniform,500,8,0.972534535724609,NO_OPTIMIZER,0.5095036596884776,long,NaN,NaN,NaN,12,NaN,3.830854584123904,0.133,16,500,0.5095036596884776,uniform01,0.5095036596884792,1.0000000000000033,7.518796992481228,NaN,NaN,NaN,1.9087881259169746,1.5569654139264846,NaN,1.0,0.5670241415624663,1.0,0.5670241415624663,NaN,NaN,3.3306690738754696e-15,6.518796992481228,NaN,NaN,NaN,0.9087881259169746,0.5569654139264846,NaN,0.0,0.4329758584375337,0.0,0.4329758584375337,NaN,NaN
dense,2.407766913484828,8,500,NO_OPTIMIZER,NaN,500,9,1.7609363243324432,NaN,1.5934116309662731,1.5934116309662731,uniform,500,8,2.6289246105497486,NO_OPTIMIZER,1.8638100840407217,short,NaN,NaN,NaN,12,NaN,6.348253509825796,0.251,12,500,1.8008625168520702,uniform01,1.593411630966275,0.8549216707271883,3.4060624331760487,NaN,NaN,NaN,1.4105109920052938,1.291852069103958,NaN,0.8549216707271873,0.8549216707271873,0.9662264048640719,0.9448045910958647,NaN,NaN,0.14507832927281172,2.4060624331760487,NaN,NaN,NaN,0.41051099200529384,0.2918520691039579,NaN,0.14507832927281272,0.14507832927281272,0.03377359513592815,0.055195408904135324,NaN,NaN
sparse,1.8261296878831113,4,500,NO_OPTIMIZER,NaN,500,9,1.483563747098702,NaN,0.8409041921586103,1.46820892583441,uniform,500,8,2.016126292785942,NO_OPTIMIZER,1.4737858964843003,short,NaN,NaN,NaN,12,NaN,3.0467543194152626,0.276,12,500,1.4853241222137419,uniform01,0.8409041921586126,0.570574188669182,2.0672977850332677,NaN,NaN,NaN,1.3679913056539548,1.2390739334928658,NaN,0.5705741886691804,0.9962158881672066,1.007828970108186,1.006634512270559,NaN,NaN,0.42942581133081803,1.0672977850332677,NaN,NaN,NaN,0.36799130565395477,0.23907393349286576,NaN,0.4294258113308196,0.0037841118327933687,0.00782897010818595,0.00663451227055889,NaN,NaN
dense,2.314380735400468,8,500,NO_OPTIMIZER,NaN,500,9,0.9119165333176911,NaN,0.8409041921586103,0.7525074388076667,uniform,500,8,2.7015018663404837,NO_OPTIMIZER,0.9564494613098409,long,NaN,NaN,NaN,12,NaN,5.190766618263041,0.162,19,500,0.9454583937240685,uniform01,0.8409041921586126,0.8791935446406222,5.427120645929766,NaN,NaN,NaN,2.824510834729128,2.419762704692168,NaN,0.8791935446406198,0.7867717733638753,0.9885084700965586,0.9534393297360817,NaN,NaN,0.12080645535937784,4.427120645929766,NaN,NaN,NaN,1.8245108347291281,1.4197627046921681,NaN,0.12080645535938017,0.21322822663612473,0.011491529903441378,0.0465606702639183,NaN,NaN
